id,person,position_current,source,url,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,connection_trump,connection_trumpally,connection_conservativeagenda,connection_careerprofessional,connection_other,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
17,"Duane Kees","U.S. Attorney for the W.D. of Arkansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,2018/01/05,1975/01/01,45,"Little Rock",male,"University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,Republican,0,1,1,0,0,1,NA,1,NA,1,NA
18,"Duane Kees","U.S. Attorney for the W.D. of Arkansas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,2018/01/05,1975/01/01,45,"Little Rock",male,"University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,Republican,0,1,1,0,0,1,NA,1,NA,1,NA
19,"Joseph P. Kelly","U.S. Attorney for the District of Nebraska",prosecutor,https://upload.wikimedia.org/wikipedia/commons/4/40/Joseph_P_Kelly.jpg,2018/02/23,1956/01/01,64,Lexington,male,"University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
20,"Jason R. Dunn","U.S. Attorney for the District of Colorado",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/USA_Jason_Dunn_CO.jpg/220px-USA_Jason_Dunn_CO.jpg,2018/10/26,NA,NA,,male,"University of Colorado","University of Colorado",NA,"University of Colorado, Boulder",-0.829,36,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA
21,"Richard Donoghue",NA,prosecutor,https://www.justice.gov/sites/default/files/styles/width_3/public/pages/images/2018/01/05/rdonoghue_headshot.jpg?itok=6tdGBkhl,NA,NA,NA,NA,NA,"Hofstra University",NA,NA,"St. John’s University, New York, NY",-0.483,58,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
22,"Bobby Christine","U.S. Attorney for the S.D. of Georgia",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bobby_Christine.jpg/220px-Bobby_Christine.jpg,2017/11/22,1969/01/01,51,,male,"University of Georgia",NA,NA,"Cumberland University",0.382,148,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
23,"Scott W. Murray","U.S. Attorney for the District of New Hampshire",prosecutor,https://upload.wikimedia.org/wikipedia/commons/5/5f/Scott_murray_photo.jpg,2018/03/05,1954/01/01,66,Rochester,male,"University of New Hampshire","University of New Hampshire",NA,"University of New Hampshire",-0.14,88,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
24,"Drew Wrigley","U.S. Attorney for the District of North Dakota",prosecutor,https://upload.wikimedia.org/wikipedia/commons/5/57/Drew_Wrigley_-_official_U.S._Attorney_portrait.jpg,2019/04/17,1965/10/10,55,Bismarck,male,"University of North Dakota",NA,NA,"American University",-0.834,64,1,Republican,0,0,1,1,0,NA,NA,NA,NA,1,NA
25,"John W. Huber","U.S. Attorney for the District of Utah",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/John_W._Huber_official_photo.jpg/220px-John_W._Huber_official_photo.jpg,2015/06/01,1967/01/01,53,"Salt Lake City",male,"University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA
26,"Clay Fowlkes",NA,prosecutor,NA,NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,102,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
27,"Clay Fowlkes",NA,prosecutor,NA,NA,NA,NA,NA,NA,"Arkansas State University",NA,NA,"University of Arkansas, Little Rock",-0.29,148,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
28,"McGregor W. Scott","U.S. Attorney for the E.D. of California",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/McGregor_W._Scott_official_photo.jpg/220px-McGregor_W._Scott_official_photo.jpg,2017/12/29,1962/01/01,58,"Mountain View",male,"Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,Republcian,0,0,1,1,0,NA,NA,1,NA,NA,NA
29,"David Freed","U.S. Attorney for the M.D. of Pennsylvania",prosecutor,https://upload.wikimedia.org/wikipedia/commons/3/39/David_J._Freed_official_photo.jpg,2017/11/27,NA,NA,,male,"Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
30,"Joseph D. Brown","U.S. Attorney for the E.D. of Texas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg,2018/02/26,1970/01/01,50,Sherman,male,"University of Texas at Austin",NA,NA,"Southern Methodist University",0.029,43,0,Republican,0,0,1,0,1,NA,NA,NA,NA,1,NA
31,"Ryan Patrick","U.S. Attorney for the S.D. of Texas",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/US_Attorney_Ryan_Patrick.jpg/220px-US_Attorney_Ryan_Patrick.jpg,2018/01/08,1979/01/01,41,"Washington, D.C.",male,"Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,Republican,0,1,1,0,0,NA,1,1,NA,NA,NA
32,"William Powell",NA,prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/William_J._Powell_official_photo.jpg/220px-William_J._Powell_official_photo.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
33,"Brian T. Moran","U.S. Attorney for the W.D. of Washington",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Brian_T._Moran_-_Official_portrait.png/220px-Brian_T._Moran_-_Official_portrait.png,2019/01/17,NA,NA,,male,"Middlebury College",NA,NA,"Seattle University",-0.938,102,0,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA
34,"Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg,2019/01/16,1946/01/01,74,Hartford,male,"St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
35,"R. Andrew Murray","U.S. Attorney for the W.D. of North Carolina",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/R._Andrew_Murray_official_photo.jpg/220px-R._Andrew_Murray_official_photo.jpg,2017/11/27,NA,NA,,male,"University of North Carolina at Charlotte",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,Republican,0,0,1,0,1,NA,NA,NA,NA,NA,NA
36,"Ariana Fajardo Orshan","U.S. Attorney for the S.D. of Florida",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ariana_Fajardo_Orshan_official_portrait.jpg/220px-Ariana_Fajardo_Orshan_official_portrait.jpg,2018/09/18,NA,NA,,female,"Florida International University",NA,NA,"Nova Southeastern University",-0.224,157,0,NA,0,0,1,0,1,NA,NA,1,NA,NA,NA
37,"Christina E. Nolan","U.S. Attorney for the District of Vermont",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Christina_E._Nolan_official_photo.jpg/220px-Christina_E._Nolan_official_photo.jpg,2017/11/27,1979/01/01,41,Burlington,female,"University of Vermont",NA,NA,"Boston College",-0.82,24,0,None,0,0,0,1,0,NA,NA,NA,NA,NA,NA
38,"Billy J. Williams","U.S. Attorney for the District of Oregon",prosecutor,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Billy_J._Williams_official_photo.jpg/220px-Billy_J._Williams_official_photo.jpg,2018/02/23,1956/01/01,64,Toppenish,male,"Washington State University",NA,NA,"Willamette University",-0.571,136,0,Republican,0,0,0,1,0,NA,NA,NA,NA,NA,NA
39,"Justin Herdman","U.S. Attorney for the N.D. of Ohio",prosecutor,https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg,2017/08/21,NA,NA,,male,"Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,NA,0,0,1,1,0,NA,NA,1,NA,NA,NA
