Id,person,url,position_current,size,nameTrump
54,"Joseph D. Brown",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg,"U.S. Attorney for the E.D. of Texas",0,
55,"Joseph H. Hunt",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jody_Hunt_official_photo.jpg/220px-Jody_Hunt_official_photo.jpg,"Assistant Attorney General for the Civil Division",0,
56,"Joseph P. Kelly",https://upload.wikimedia.org/wikipedia/commons/4/40/Joseph_P_Kelly.jpg,"U.S. Attorney for the District of Nebraska",0,
58,"Justin Herdman",https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg,"U.S. Attorney for the N.D. of Ohio",0,
59,"Kenji M. Price",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kenji_M_Price.jpg/220px-Kenji_M_Price.jpg,"U.S. Attorney for the District of Hawaii",0,
61,"Larry Keefe",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Lawrence_A._Keefe.jpg/220px-Lawrence_A._Keefe.jpg,"U.S. Attorney for the N.D. of Florida",0,
63,"Makan Delrahim",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Makan_Delrahim_official_photo.jpg/220px-Makan_Delrahim_official_photo.jpg,"Assistant Attorney General for the Antitrust Division",0,
65,"Maria Chapa Lopez",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Maria_Chapa_Lopez_official_photo.jpg/220px-Maria_Chapa_Lopez_official_photo.jpg,"U.S. Attorney for the M.D. of Florida",0,
67,"Matthew J. Schneider",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg,"U.S. Attorney for the E.D. of Michigan",0,
68,"Matthew Krueger",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Matt_Krueger_official_photo.jpg/220px-Matt_Krueger_official_photo.jpg,"U.S. Attorney for the E.D. of Wisconsin",0,
69,"Matthew Martin",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Matthew_Martin.jpg/220px-Matthew_Martin.jpg,"U.S. Attorney for the M.D. of North Carolina",0,
70,"McGregor W. Scott",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/McGregor_W._Scott_official_photo.jpg/220px-McGregor_W._Scott_official_photo.jpg,"U.S. Attorney for the E.D. of California",0,
73,"Michael Sherwin",https://www.justice.gov/sites/default/files/styles/width_2/public/pages/images/2020/05/21/michaelsherwin.jpg?itok=Z3JEy7EY,"U.S. Attorney for the District of Columbia",0,
76,"Noel Francisco",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Noel_Francisco_official_photo.jpg/220px-Noel_Francisco_official_photo.jpg,"Principal Deputy Solicitor General",0,
77,"Peter Deegan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Peter_E._Deegan_Jr_official_photo.jpg/220px-Peter_E._Deegan_Jr_official_photo.jpg,"U.S. Attorney for the N.D. of Iowa",0,
78,"Peter G. Strasser",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/P.G.Strasser.jpg/220px-P.G.Strasser.jpg,"U.S. Attorney for the E.D. of Louisiana",0,
79,"Peter M. McCoy Jr.",https://pbs.twimg.com/profile_images/1077402119605547008/I6S7lWdM_400x400.jpg,"U.S. Attorney for the District of South Carolina",0,
80,"R. Andrew Murray",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/R._Andrew_Murray_official_photo.jpg/220px-R._Andrew_Murray_official_photo.jpg,"U.S. Attorney for the W.D. of North Carolina",0,
81,"R. Trent Shores",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/R._Trent_Shores_official_photo.jpg/220px-R._Trent_Shores_official_photo.jpg,"U.S. Attorney for the N.D. of Oklahoma",0,
82,"Rachel L. Brand",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Rachel_Brand_official_photo.jpg/220px-Rachel_Brand_official_photo.jpg,"Associate Attorney General",0,
84,"Richard W. Moore",https://upload.wikimedia.org/wikipedia/commons/3/35/Richard_W._Moore_official_portrait.jpg,"U.S. Attorney for the S.D. of Alabama",0,
85,"Robert Higdon Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Robert_Higdon_Jr._official_photo.jpg/220px-Robert_Higdon_Jr._official_photo.jpg,"U.S. Attorney for the E.D. of North Carolina",0,
86,"Robert K. Hur",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg,"U.S. Attorney for the District of Maryland",0,
87,"Robert M. Duncan Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg,"U.S. Attorney for the E.D. of Kentucky",0,
88,"Robert S. Brewer Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg,"U.S. Attorney for the S.D. of California",0,
89,"Rod J. Rosenstein",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Rod_Rosenstein_official_portrait_2.jpg/220px-Rod_Rosenstein_official_portrait_2.jpg,"Deputy Attorney General",0,
90,"Ron A. Parsons Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ron_A._Parsons_Jr._Official_Portrait.png/220px-Ron_A._Parsons_Jr._Official_Portrait.png,"U.S. Attorney for the District of South Dakota",0,
91,"Russell Coleman",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Russell_Coleman_official_photo.jpg/220px-Russell_Coleman_official_photo.jpg,"U.S. Attorney for the W.D. of Kentucky",0,
92,"Ryan Patrick",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/US_Attorney_Ryan_Patrick.jpg/220px-US_Attorney_Ryan_Patrick.jpg,"U.S. Attorney for the S.D. of Texas",0,
94,"Scott Brady",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Scott_Brady_official_photo.jpg/220px-Scott_Brady_official_photo.jpg,"U.S. Attorney for the W.D. of Pennsylvania",0,
95,"Scott W. Murray",https://upload.wikimedia.org/wikipedia/commons/5/5f/Scott_murray_photo.jpg,"U.S. Attorney for the District of New Hampshire",0,
