Source,Target,Type,Id,Label,timeset,Weight
7,503,Directed,10,,,1
11,503,Directed,18,,,1
18,503,Directed,29,,,1
29,503,Directed,56,,,1
30,503,Directed,61,,,1
33,503,Directed,68,,,1
38,503,Directed,84,,,1
41,503,Directed,91,,,1
43,503,Directed,97,,,1
44,503,Directed,98,,,1
47,503,Directed,107,,,1
76,503,Directed,163,,,1
86,503,Directed,193,,,1
87,503,Directed,196,,,1
91,503,Directed,211,,,1
92,503,Directed,215,,,1
98,503,Directed,229,,,1
103,503,Directed,243,,,1
