Id,person,url,position_current,size
103,"Thomas T. Cullen",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,"U.S. Attorney for the W.D. of Virginia",0
104,"Timothy A. Garrison",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg,"U.S. Attorney for the W.D. of Missouri",0
105,"Timothy J. Downing",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg,"U.S. Attorney for the W.D. of Oklahoma",0
109,"William M. McSwain",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/William_M._McSwain.jpg/220px-William_M._McSwain.jpg,"U.S. Attorney for the E.D. of Pennsylvania",0
500,"American Center for Law & Justice",https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/ACLJ_logo.jpg/220px-ACLJ_logo.jpg,,1
501,"Christian Legal Society",https://www.law.uga.edu/sites/default/files/landing_page_slides/cls.jpg,,1
502,"Federalist Society",https://www.law.berkeley.edu/wp-content/uploads/2018/12/FedSoc.Logo_.Short1_.CMYK_.Blue_.jpg,,32
503,"Heritage Foundation",https://gtmarket.ru/files/Heritage-Foundation-logo.jpg,,5
504,"National Rifle Association",https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/National_Rifle_Association_official_logo.svg/220px-National_Rifle_Association_official_logo.svg.png,,4
505,"Republican National Lawyers Association",https://d3n8a8pro7vhmx.cloudfront.net/rnla/sites/1/meta_images/original/RNLA_Logo.png?1558638102,,2
