Source,Target,Type,Id,Label,timeset,Weight
34,500,Directed,73,,,1
42,500,Directed,95,,,1
46,500,Directed,102,,,1
63,500,Directed,134,,,1
71,500,Directed,155,,,1
73,500,Directed,157,,,1
83,500,Directed,184,,,1
100,500,Directed,237,,,1
110,500,Directed,265,,,1
