agency_name,position_title,attorney,title,employer,Firm conservative score,start_date,end_date
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),EcoLab,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Elect Blake Farenthold Committee,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,Elliott Associates,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),"Enrollforce, LLC",,,
Justice,Principal Deputy Solicitor General,Noel Francisco,legal services,Expedia,,2017,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Trustee,F. & G. Family Irrevocable Trust,,2018,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Trustee,F. & G. Family Irrevocable Trust,,,
Justice,Assistant Attorney General for the Office of Legal Policy,Beth Ann Williams,Legal services,"Facebook, Inc.",,2017,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Trustee,Family Revocable Trust 1,,2018,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Trustee,Family Revocable Trust 1,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Co-trustee,Family Trust 2,,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Chair - regulatory reform project,Federalist Society,,,
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,Chair of Environment and Property Rights Practice Group,Federalist Society,,,
Justice,Assistant Attorney General for the Environment and Natural Resources Division,Jeffrey Bossert Clark,Chair of Environment and Property Rights Practice Group,Federalist Society,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Chair Regulatory Reform Project,Federalist Society,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Federalist Society,,,
Justice,Assistant Attorney General for the Antitrust Division,Makan Delrahim,Legal Services,"Flexjet, LLC",,2017,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Follett Corporation,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Fortinet,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Franciscan Alliance,,,
Justice,Assistant Attorney General for the Office of the Legal Counsel,Steven A. Engel,Legal Services,General Electric Company,,2017,
Justice,Associate Attorney General,Rachel L. Brand,Associate Professor of Law,George Mason University,,2017,2018
Justice,Associate Attorney General,Rachel L. Brand,Consultant,George Mason University,,2017,2018
Justice,Associate Attorney General,Rachel L. Brand,Previously consultant; now Professor,George Mason University,,2017,2018
,,Jeffrey A. Rosen,Adjunct Professor,Georgetown University Law Center,,1996,2003
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Adjunct Professor,Georgetown University Law Center,,2018,
Justice,Assistant Attorney General for the National Security Division,John C. Demers,Adjunt Professor,Georgetown University Law Center,,,
Justice,Assistant Attorney General for the Criminal Division,Brian Allen Benczkowski,Legal services,Greenbriar Equity Group,,,
Justice,Assistant Attorney General for the Civil Rights Division,Eric S. Dreiband,Legal Services (client of Jones Day),Groupon,,,
