item,itemLabel,educated_at,educated_atLabel,degree,graduated,law rank,law conservative score,undergrad rank,notes
http://www.wikidata.org/entity/Q45714460,Christina E. Nolan,http://www.wikidata.org/entity/Q4947841,Boston College,JD,2004,24,-0.82,,
http://www.wikidata.org/entity/Q39064553,Halsey Frank,http://www.wikidata.org/entity/Q3064264,Boston University,JD,1986,19,-0.93,,
http://www.wikidata.org/entity/Q42346740,Michael B. Stuart,http://www.wikidata.org/entity/Q3064264,Boston University,JD,,19,-0.93,,
http://www.wikidata.org/entity/Q66448890,David M. DeVillers,http://www.wikidata.org/entity/Q5035683,Capital University,JD,,166,-0.041,,
,Andrew B. Birge,,Columbia University,JD,,3,-0.882,,
http://www.wikidata.org/entity/Q32171993,Richard W. Moore,http://www.wikidata.org/entity/Q5193960,Cumberland University,JD,1977,148,0.382,,
http://www.wikidata.org/entity/Q42308027,Bobby Christine,http://www.wikidata.org/entity/Q5193960,Cumberland University,JD,1995,148,0.382,,
http://www.wikidata.org/entity/Q47499109,Joseph D. Brown,,Southern Methodist University,JD,,43,0.029,,
http://www.wikidata.org/entity/Q51741273,Erica MacDonald,http://www.wikidata.org/entity/Q5244034,DePaul University,JD,1997,115,-0.824,,
http://www.wikidata.org/entity/Q5233835,David Freed,,Dickinson Law,JD,,52,-0.337,,
http://www.wikidata.org/entity/Q48740794,Scott Brady,,Dickinson Law,JD,,52,-0.337,,
http://www.wikidata.org/entity/Q48743453,John C. Anderson,http://www.wikidata.org/entity/Q5468082,Fordham University,JD,2003,24,-0.773,,
http://www.wikidata.org/entity/Q56284262,Larry Keefe,http://www.wikidata.org/entity/Q5499390,University of Florida,JD,1986,29,-0.214,,
,Grant C. Jaquith,,University of Florida,JD,1982,29,-0.214,,
,D. Michael Hurst Jr.,,George Washington University,JD,,21,-0.841,,
http://www.wikidata.org/entity/Q48926431,Nicola T. Hanna,http://www.wikidata.org/entity/Q846101,Georgetown University,JD,1987,15,-0.821,,
http://www.wikidata.org/entity/Q55584805,Nicholas A. Trutanich,http://www.wikidata.org/entity/Q846101,Georgetown University,JD,,15,-0.821,,
http://www.wikidata.org/entity/Q63700125,William D. Hyslop,,Gonzaga University,JD,1980,102,-0.404,,
http://www.wikidata.org/entity/Q30519351,Justin Herdman,http://www.wikidata.org/entity/Q49122,Harvard University,JD,2001,1,-0.816,,
http://www.wikidata.org/entity/Q40234869,Marc Krickbaum,http://www.wikidata.org/entity/Q49122,Harvard University,JD,2006,1,-0.816,,
http://www.wikidata.org/entity/Q40342099,Kurt Alme,http://www.wikidata.org/entity/Q49122,Harvard University,JD,1992,1,-0.816,,
