District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the N.D. of Indiana,Q41593180,Thomas Kirsch,United States Attorney's Office for the Northern District of Indiana,Assistant US Attorney,,2001,2008,
U.S. Attorney for the N.D. of Indiana,Q41593180,Thomas Kirsch,United States Department of Justice,Counsel,,2006,2007,
U.S. Attorney for the N.D. of Indiana,Q41593180,Thomas Kirsch,United States District Court for the Southern District of Indiana,Law Clerk,,2000,2001,
U.S. Attorney for the N.D. of Indiana,Q41593180,Thomas Kirsch,Winston & Strawn LLP,Partner,-0.382,2008,2017,
U.S. Attorney for the W.D. of Virginia,Q48926392,Thomas T. Cullen,United States Attorney's Office for the Western District of North Carolina,Assistant US Attorney,,,,
U.S. Attorney for the W.D. of Virginia,Q48926392,Thomas T. Cullen,United States Attorney's Office for the Western District of Virginia,Assistant US Attorney,,,,
U.S. Attorney for the W.D. of Virginia,Q48926392,Thomas T. Cullen,United States Court of Appeals for the Fourth Circuit,Law Clerk,,,,
U.S. Attorney for the W.D. of Virginia,Q48926392,Thomas T. Cullen,United States District Court for the Eastern District of Michigan,Law Clerk,,,,
U.S. Attorney for the W.D. of Virginia,Q48926392,Thomas T. Cullen,Woods Rogers PLC,Principal,,,2018,
U.S. Attorney for the W.D. of Missouri,Q48926405,Timothy A. Garrison,(US) Marine Corps,Prosecutor,,,,
U.S. Attorney for the W.D. of Missouri,Q48926405,Timothy A. Garrison,United State Department of Defense,General Counsel,,,,
U.S. Attorney for the W.D. of Missouri,Q48926405,Timothy A. Garrison,United States Attorney's Office for the Western District of Missouri,Assistant US Attorney,,2007,2018,
U.S. Attorney for the W.D. of Oklahoma,Q61941673,Timothy J. Downing,Oklahoma House of Representatives,Assistant Majority Leader / Assistant Majority Whip / State Representative ,,2016,2018,
U.S. Attorney for the W.D. of Oklahoma,Q61941673,Timothy J. Downing,Oklahoma Office of the Attorney General,Assistant Attorney General,,2011,2016,
U.S. Attorney for the W.D. of Oklahoma,Q61941673,Timothy J. Downing,United States Attorney's Office for the Western District of Texas,Special Assistant U.S. Attorney,,2011,2016,
U.S. Attorney for the W.D. of Oklahoma,Q61941673,Timothy J. Downing,US Army Judge Advocate General's Corp,Judge Advocate,,2011,,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Attorney's Office for the District of Puerto Rico,Assistant US Attorney,,1995,2001,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Attorney's Office for the Middle District of Florida,Assistant US Attorney ,,2018,2019,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Attorney's Office for the Middle District of Florida,Acting US Attorney,,2017,2018,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Attorney's Office for the Middle District of Florida,First Assistant US Attorney,,2013,2017,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Attorney's Office for the Middle District of Florida,Assistant US Attorney,,2001,2013,
U.S. Attorney for the District of Puerto Rico,Q64747678,W. Stephen Muldrow,United States Department of Justice,Attorney,,1989,1995,
U.S. Attorney for the N.D. of Mississippi,,William C. Lamar,United States Attorney's Office for the Northern District of Mississippi,Chief,,Unknown,2017,
U.S. Attorney for the N.D. of Mississippi,,William C. Lamar,United States Attorney's Office for the Northern District of Mississippi,Assistant US Attorney,,1991,Unknown,
U.S. Attorney for the E.D. of Washington,Q63700125,William D. Hyslop,Lukins & Annis PS,Principal,,1993,2019,
U.S. Attorney for the E.D. of Washington,Q63700125,William D. Hyslop,Lukins & Annis PS,Principal,,1984,1991,
U.S. Attorney for the E.D. of Washington,Q63700125,William D. Hyslop,Lukins & Annis PS,Associate,,1980,1983,
U.S. Attorney for the E.D. of Washington,Q63700125,William D. Hyslop,United States Attorney's Office for the Eastern District of Washington,US Attorney,,1991,1993,
U.S. Attorney for the E.D. of Pennsylvania,Q48688244,William M. McSwain,Drinker Biddle & Reath LLP,Partner,-0.41,,2018,
U.S. Attorney for the E.D. of Pennsylvania,Q48688244,William M. McSwain,United States Attorney's Office for the Eastern District of Pennsylvania,Assistant US Attorney,,2003,2006,
U.S. Attorney for the E.D. of Pennsylvania,Q48688244,William M. McSwain,United States Court of Appeals for the Third Circuit,Law Clerk,,,,
U.S. Attorney for the N.D. of West Virginia,Q43381318,William Powell,County of Jefferson WV,Chief Deputy Prosecuting Attorney,,,2017,
U.S. Attorney for the N.D. of West Virginia,Q43381318,William Powell,Jackson Kelly LLC,Member,0.195,,,
U.S. Attorney for the N.D. of West Virginia,Q43381318,William Powell,United States Attorney's Office for the Southern District of West Virginia,Assistant US Attorney,,,,
