District,Attorney WikidataID,Attorney,Employer,Title,Firm conservative score,Start date,End date,Notes
U.S. Attorney for the C.D. of Illinois,Q56284266,John C. Milhiser,County of Sangamon IL,First Assistant State's Attorney ,,2008,2010,
U.S. Attorney for the C.D. of Illinois,Q56284266,John C. Milhiser,County of Sangamon IL,Assistant State's Attorney ,,1997,2003,
U.S. Attorney for the C.D. of Illinois,Q56284266,John C. Milhiser,Private Practice,Attorney ,,2003,2008,
U.S. Attorney for the District of Connecticut,Q6230524,John Durham,United States Attorney's Office for the District of Connecticut,Assistant US Attorney,,1998,2017,
U.S. Attorney for the District of Connecticut,Q6230524,John Durham,United States Attorney's Office for the District of Connecticut,Acting US Attorney,,1997,1998,
U.S. Attorney for the District of Connecticut,Q6230524,John Durham,United States Attorney's Office for the District of Connecticut,Assistant US Attorney,,Unknown,1997,
U.S. Attorney for the N.D. of Illinois,Q44532195,John R. Lausch Jr.,Kirkland & Ellis LLP,Partner,-0.363,2010,2017,
U.S. Attorney for the N.D. of Illinois,Q44532195,John R. Lausch Jr.,Kirkland & Ellis LLP,Litigation Associate,-0.363,1997,1999,
U.S. Attorney for the N.D. of Illinois,Q44532195,John R. Lausch Jr.,United States Attorney's Office for the Northern District of Illinois,Deputy Chief,,2005,2010,
U.S. Attorney for the N.D. of Illinois,Q44532195,John R. Lausch Jr.,United States Attorney's Office for the Northern District of Illinois,Assistant US Attorney,,1999,2005,
U.S. Attorney for the N.D. of Illinois,Q44532195,John R. Lausch Jr.,United States Court of Appeals for the Seventh Circuit,Law Clerk,,1996,1997,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,City of West Valley City UT,Chief Prosecutor,,1999,2004,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,City of West Valley City UT,Deputy Prosecutor,,1996,1999,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,County of Weber UT,Deputy County Attorney,,1995,1996,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,United States Attorney's Office for the District of Utah,Executive Assistant US Attorney,,2012,2015,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,United States Attorney's Office for the District of Utah,Assistant US Attorney,,2005,2012,
U.S. Attorney for the District of Utah,Q30529752,John W. Huber,United States Attorney's Office for the District of Utah,Special Assistant US Attorney,,2002,2005,
U.S. Attorney for the E.D. of Texas,Q47499109,Joseph D. Brown,County of Grayson TX,District Attorney,,2018,2018,
U.S. Attorney for the E.D. of Texas,Q47499109,Joseph D. Brown,Cowles and Thompson,Associate,,,,
U.S. Attorney for the E.D. of Texas,Q47499109,Joseph D. Brown,Texas Juvenile Justice Department,Board Member,,2009,2014,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,"Berniger, Berg and Diver PC",Associate,,1987,1990,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,County of Lancaster NE,District Attorney ,,2011,2018,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,County of Lancaster NE,District Attorney ,,2011,2018,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,County of Lancaster NE,Chief Deputy District Attorney,,2010,2011,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,County of Lancaster NE,Deputy District Attorney,,1990,2000,
U.S. Attorney for the District of Nebraska,Q48977188,Joseph P. Kelly,County of Lancaster NE,Deputy District Attorney,,1981,1986,
U.S. Attorney for the S.D. of Indiana,Q39515420,Joshua Minkler,United States Attorney's Office for the Southern District of Indiana,Interim US Attorney,,2015,2017,
U.S. Attorney for the S.D. of Indiana,Q39515420,Joshua Minkler,United States Attorney's Office for the Southern District of Indiana,Acting US Attorney,,2014,2015,
U.S. Attorney for the S.D. of Indiana,Q39515420,Joshua Minkler,United States Attorney's Office for the Southern District of Indiana,First Assistant US Attorney,,Unknown,2014,
U.S. Attorney for the S.D. of Indiana,Q39515420,Joshua Minkler,United States Attorney's Office for the Southern District of Indiana,Assistant US Attorney,,1994,Unknown,
U.S. Attorney for the N.D. of Ohio,Q30519351,Justin Herdman,County of New York NY,Assistant District Attorney,,2001,2005,
U.S. Attorney for the N.D. of Ohio,Q30519351,Justin Herdman,Jones Day LLP,Partner,-0.213,2013,2017,
U.S. Attorney for the N.D. of Ohio,Q30519351,Justin Herdman,United States Attorney's Office for the Northern District of Ohio,Deputy Chief,,2010,2013,
U.S. Attorney for the N.D. of Ohio,Q30519351,Justin Herdman,United States Attorney's Office for the Southern District of Ohio,Assistant US Attorney,,2006,2010,
U.S. Attorney for the District of Hawaii,Q48927544,Kenji M. Price,Alston Hunt Floyd & Ing,Director  ,,Unknown,2018,
U.S. Attorney for the District of Hawaii,Q48927544,Kenji M. Price,Carlsmith Ball LLP,Partner,,,,
U.S. Attorney for the District of Hawaii,Q48927544,Kenji M. Price,Carlsmith Ball LLP,Of Counsel,,,,
U.S. Attorney for the District of Montana,Q40342099,Kurt Alme,United States Attorney's Office for the District of Montana,First Assistant US Attorney,,2006,2010,
U.S. Attorney for the District of Montana,Q40342099,Kurt Alme,United States Attorney's Office for the District of Montana,Assistant US Attorney,,2001,2006,
U.S. Attorney for the District of Montana,Q40342099,Kurt Alme,Yellowstone Boys & Girls Ranch,President / General Counsel,,2013,2017,
U.S. Attorney for the District of Montana,Q40342099,Kurt Alme,Yellowstone Boys & Girls Ranch,Exec VP / General Counsel,,2010,2013,
U.S. Attorney for the N.D. of Florida,Q56284262,Larry Keefe,"Keefe, Anchors & Gordon PA",Partner,,,,
U.S. Attorney for the M.D. of Alabama,Q30508807,Louis V. Franklin Sr.,Legal Services Corporation,Staff Attorney,,1987,1990,
U.S. Attorney for the M.D. of Alabama,Q30508807,Louis V. Franklin Sr.,Sirote and Permutt,Associate,,1996,1998,
U.S. Attorney for the M.D. of Alabama,Q30508807,Louis V. Franklin Sr.,United States Attorney's Office for the Middle District of Alabama,Chief,,2001,2017,
U.S. Attorney for the M.D. of Alabama,Q30508807,Louis V. Franklin Sr.,United States Attorney's Office for the Middle District of Alabama,Assistant US Attorney,,1998,2001,
U.S. Attorney for the M.D. of Alabama,Q30508807,Louis V. Franklin Sr.,United States Attorney's Office for the Middle District of Alabama,Assistant US Attorney,,1990,1996,
U.S. Attorney for the S.D. of Iowa,Q40234869,Marc Krickbaum,United States Attorney's Office for the Northern District of Illinois,Assistant US Attorney,,Unknown,2017,
U.S. Attorney for the S.D. of Iowa,Q40234869,Marc Krickbaum,United States Attorney's Office for the Southern District of Iowa,Assistant US Attorney,,2009,Unknown,
U.S. Attorney for the S.D. of Iowa,Q40234869,Marc Krickbaum,United States Department of Justice,Counsel,,Unknown,2008,
U.S. Attorney for the M.D. of Florida,Q53062078,Maria Chapa Lopez,United States Attorney's Office for the Middle District of Florida,Assistant US Attorney,,2000,2016,
U.S. Attorney for the M.D. of Florida,Q53062078,Maria Chapa Lopez,United States Department of Justice,Deputy Attaché,,2016,2018,
U.S. Attorney for the M.D. of Florida,Q53062078,Maria Chapa Lopez,US Army Judge Advocate General's Corp,Judge Advocate,,Unknown,2000,
U.S. Attorney for the District of Wyoming,Q42351529,Mark Klassen,Latham & Watkins, Associate,-0.561,,,
U.S. Attorney for the District of Wyoming,Q42351529,Mark Klassen,United States Attorney's Office for the District of Wyoming, Assistant United States Attorney ,,Unknown,2017,
U.S. Attorney for the District of Wyoming,Q42351529,Mark Klassen,United States Court of Appeals for the Tenth Circuit, Law Clerk,,,,
U.S. Attorney for the District of Wyoming,Q42351529,Mark Klassen,United States Department of Homeland Security,General Counsel,,2007,2009,
U.S. Attorney for the District of Wyoming,Q42351529,Mark Klassen,US House of Representatives, Cheif of Staff to the General Counsel,,2003,2007,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,Michigan Office of the Attorney General,Chief Deputy Attorney General,,,,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,Michigan Office of the Attorney General,Chief Legal Counsel,,,,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,Michigan State University Law School,Adjunct Professor,,2012,,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,Michigan Supreme Court,Chief of Staff / General Counsel,,,,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,United States Attorney's Office for the Eastern District of Michigan,Assistant U.S. Attorney,,2003,2011,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,White House Office of Management and Budget,Senior Advisor / Assistant General Counsel,,,,
U.S. Attorney for the E.D. of Michigan,Q55238025,Matthew J. Schneider,Wiley Rein,Associate,-0.027,,,
U.S. Attorney for the E.D. of Wisconsin,Q47484556,Matthew Krueger,Sidley Austin LLP,Associate,-0.608,,,
U.S. Attorney for the E.D. of Wisconsin,Q47484556,Matthew Krueger,Steptoe & Johnson PLLC,Assistant United States Attorney ,-0.29,2013,2018,
U.S. Attorney for the E.D. of Wisconsin,Q47484556,Matthew Krueger,United States Court of Appeals for the Fourth Circuit,Law Clerk,,,,
U.S. Attorney for the E.D. of Wisconsin,Q47484556,Matthew Krueger,United States Department of Justice,Bristow Fellow,,,,
U.S. Attorney for the M.D. of North Carolina,Q43380464,Matthew Martin,Covington & Burling LLP,Attorney,-0.612,2004,2006,
U.S. Attorney for the M.D. of North Carolina,Q43380464,Matthew Martin,Duke Energy Corp,Associate General Counsel,,2013,2018,
U.S. Attorney for the M.D. of North Carolina,Q43380464,Matthew Martin,Smith Anderson Blount Dorsett Mitchell & Jernigan LLP,Attorney,,2006,2013,
U.S. Attorney for the E.D. of California,Q47457151,McGregor W. Scott,County of Contra Costa CA,Deputy District Attorney,,1989,1997,
U.S. Attorney for the E.D. of California,Q47457151,McGregor W. Scott,County of Shasta CA,District Attorney,,1997,2003,
U.S. Attorney for the E.D. of California,Q47457151,McGregor W. Scott,"Orrick, Herrington & Sutcliffe LLP",Partner,-0.853,2009,2017,
U.S. Attorney for the E.D. of California,Q47457151,McGregor W. Scott,United States Attorney's Office for the Eastern District of California,US Attorney,,2003,2009,
U.S. Attorney for the S.D. of West Virginia,Q42346740,Michael B. Stuart,Republican Party of West Virginia,Chairman,,2010,2012,
U.S. Attorney for the S.D. of West Virginia,Q42346740,Michael B. Stuart,Steptoe & Johnson PLLC,Member,-0.29,,2018,
U.S. Attorney for the District of Arizona,Q61750281,Michael G. Bailey,Arizona Office of the Attorney General,Chief Deputy / Chief of Staff,,2015,2019,
,,Michael G. Bailey,County of Maricopa AZ,Prosecutor,,1998,2004,
U.S. Attorney for the District of Arizona,Q61750281,Michael G. Bailey,Private Practice,,,,,
U.S. Attorney for the District of Columbia,,Michael Sherwin,(US) Department of the Navy,Intelligence Officer,,1999,2004,
U.S. Attorney for the District of Columbia,,Michael Sherwin,United States Attorney's Office for the Southern District of Florida,Assistant US Attorney,,,,
U.S. Attorney for the District of Columbia,,Michael Sherwin,United States Department of Justice,Associate Deputy Attorney General,,,,
U.S. Attorney for the District of Columbia,,Michael Sherwin,United States Department of Justice,Deputy Attaché,,,,
U.S. Attorney for the District of Nevada,Q55584805,Nicholas A. Trutanich,Nevada Office of the Attorney General,Chief of Staff,,,2019,
U.S. Attorney for the District of Nevada,Q55584805,Nicholas A. Trutanich,Private Practice,Litigator,,,,
U.S. Attorney for the District of Nevada,Q55584805,Nicholas A. Trutanich,United States Department of Justice,Deputy Attaché,,,,
U.S. Attorney for the District of Nevada,Q55584805,Nicholas A. Trutanich,United States District Court for the Central District of California,Assistant US Attorney,,,,
U.S. Attorney for the District of Nevada,Q55584805,Nicholas A. Trutanich,United States District Court for the Central District of California,Law Clerk,,,,
U.S. Attorney for the C.D. of California,Q48926431,Nicola T. Hanna,"Gibson, Dunn & Crutcher LLP",Partner,-0.297,Unknown,2017,
U.S. Attorney for the C.D. of California,Q48926431,Nicola T. Hanna,United States Attorney's Office for the Central District of California,Assistant U.S. Attorney,,1990,1994,
U.S. Attorney for the C.D. of California,Q48926431,Nicola T. Hanna,United States Attorney's Office for the Southern District of California,DY Chief,,1995,1998,
U.S. Attorney for the N.D. of Iowa,Q40222043,Peter Deegan,United States Attorney's Office for the Eastern District of Michigan,Chief (Criminal Division),,2004,2006,
U.S. Attorney for the N.D. of Iowa,Q40222043,Peter Deegan,United States Attorney's Office for the Northern District of Iowa,Chief (Criminal Division),,2015,2017,
U.S. Attorney for the N.D. of Iowa,Q40222043,Peter Deegan,United States Attorney's Office for the Northern District of Iowa,Assistant US Attorney,,2006,2015,
U.S. Attorney for the N.D. of Iowa,Q40222043,Peter Deegan,United States Attorney's Office for the Northern District of Iowa,Assistant US Attorney,,1998,2004,
U.S. Attorney for the E.D. of Louisiana,Q55238029,Peter G. Strasser,(US) Department of the Navy,,,,,
U.S. Attorney for the E.D. of Louisiana,Q55238029,Peter G. Strasser,Chaffe McCall LLP,Partner,,Unknown,2018,
U.S. Attorney for the E.D. of Louisiana,Q55238029,Peter G. Strasser,United States Attorney's Office for the Eastern District of Louisiana,Assistant US Attorney,,,,
U.S. Attorney for the E.D. of Louisiana,Q55238029,Peter G. Strasser,United States Department of Justice,Deputy Attaché,,,,
U.S. Attorney for the District of South Carolina,Q87001091,Peter M. McCoy Jr.,McCoy & Stokes,Partner,,,,
U.S. Attorney for the District of South Carolina,Q87001091,Peter M. McCoy Jr.,South Carolina House of Represenatives,State Representative,,2011,2020,
U.S. Attorney for the District of South Carolina,Q87001091,Peter M. McCoy Jr.,South Carolina Office of the Solictor for the Ninth Judicial Circuit,Assistant Solicitor,,,,
U.S. Attorney for the W.D. of North Carolina,Q42319382,R. Andrew Murray,County of Mecklenburg NC,District Attorney,,,,
U.S. Attorney for the W.D. of North Carolina,Q42319382,R. Andrew Murray,Private Practice,Attorney,,1992,2017,
U.S. Attorney for the N.D. of Oklahoma,Q40460795,R. Trent Shores,Oklahoma Office of the Attorney General,Assistant Attorney General,,2015,2015,
U.S. Attorney for the N.D. of Oklahoma,Q40460795,R. Trent Shores,United States Attorney's Office for the Northern District of Oklahoma,Assistant US Attorney,,2007,2017,
U.S. Attorney for the N.D. of Oklahoma,Q40460795,R. Trent Shores,United States Department of Justice,Deputy Director,,,,
U.S. Attorney for the E.D. of New York,,Richard Donoghue,CA Technologies,"SVP and Chief Counsel, Litigation",,2011,2018,
U.S. Attorney for the E.D. of New York,,Richard Donoghue,United States Attorney's Office for the Eastern District of New York,Chief (Criminal Division),,2000,2011,
