"","agency_name","agency_title","person","employer","start_date","end_date","title","firm_conservative_score","bachelors","masters","law","doctorate","law_rank","law_conservative_score","federalist_society","heritage_foundation"
"32","Justice","Principal Deputy Solicitor General","Noel Francisco","The Museum of the Bible",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"33","Justice","Principal Deputy Solicitor General","Noel Francisco","UnityPoint Health",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"34","Justice","Principal Deputy Solicitor General","Noel Francisco","University of North Carolina",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"35","Justice","Principal Deputy Solicitor General","Noel Francisco","Herbert Vederman",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"36","Justice","Principal Deputy Solicitor General","Noel Francisco","Expedia",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"37","Justice","Principal Deputy Solicitor General","Noel Francisco","Robert F. McDonnell",2017,NA,"legal services",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"38","Justice","Principal Deputy Solicitor General","Noel Francisco","Jones Day LLP",2017,NA,"Partner",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"39","Justice","Principal Deputy Solicitor General","Noel Francisco","Historical Society of the District of Columbia",2017,NA,"Member of the Board of Directors",NA,"University of Chicago",NA,"University of Chicago",NA,4,-0.833,1,1
"40","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"I am a law firm partner at Kirkland & Ellis LLP.",NA,"Harvard University","University of Delaware","Georgetown University",NA,15,-0.821,1,1
"41","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"legal services",NA,"Harvard University","University of Delaware","Georgetown University",NA,15,-0.821,1,1
"42","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Kirkland & Ellis",NA,NA,"Partner",NA,"Harvard University","University of Delaware","Georgetown University",NA,15,-0.821,1,1
"43","Justice","Assistant Attorney General for the Environment and Natural Resources Division","Jeffrey Bossert Clark","Federalist Society",NA,NA,"Chair of the Environment and Property Rights Practice Group",NA,"Harvard University","University of Delaware","Georgetown University",NA,15,-0.821,1,1
"44","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Kirkland & Ellis",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"45","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Facebook, Inc.",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"46","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Avison Young",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"47","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","UBS Securities LLC",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"48","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","SAIC, Inc.",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"49","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Chipotle, Inc.",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"50","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Questar Corporation",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"51","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Avanade Inc.",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"52","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Accenture PLC",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"53","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Karma Automotive LLC",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"54","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Commonwealth of Puerto Rico",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"55","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Henkel Corporation",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"56","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","POET LLC",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"57","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Confidential Client",2017,NA,"Legal services",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"58","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","Kirkland & Ellis",2017,NA,"Partner",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"59","Justice","Assistant Attorney General for the Office of Legal Policy","Beth Ann Williams","A. S. Trust",2017,NA,"Trustee",NA,"Harvard University",NA,"Harvard University",NA,1,-0.816,1,1
"60","Justice","Deputy Attorney General","Rod J. Rosenstein","",2017,NA,"",NA,"University of Pennsylvania",NA,"Harvard University",NA,1,-0.816,1,1
"61","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Kirkland & Ellis",NA,NA,"Partner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","AbbVie, Inc.",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Blue Cross Blue Shield",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","BP America",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Charter Communications, Inc.",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Citibank, N.A.",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Commonwealth of Puerto Rico",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Fortinet",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Greenbriar Equity Group",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","HSBC Holdings PLC",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Valeant Pharmaceuticals and Valeant Indepdendent Directors",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Viking Global Investors",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Volkswagen Group of America",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Covanta Holding Corporation",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Elect Blake Farenthold Committee",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Legacy Cabinets, Inc.",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Justice","Assistant Attorney General for the Criminal Division","Brian Allen Benczkowski","Two confidential clients",NA,NA,"Legal services",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Justice","Associate Attorney General","Rachel L. Brand","George Mason University",2017,2018,"Previously consultant; now Professor",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"79","Justice","Associate Attorney General","Rachel L. Brand","U.S. Chamber Litigation Center",2017,2018,"Consulting services related to policy advice or fundraising",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"80","Justice","Associate Attorney General","Rachel L. Brand","Doorways for Women and Families",2017,2018,"Member, Board of Directors",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"81","Justice","Associate Attorney General","Rachel L. Brand","Little Falls Presbyterian Foundation",2017,2018,"Member, Board of Directors",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"82","Justice","Associate Attorney General","Rachel L. Brand","U.S. Chamber Litigation Center",2017,2018,"Senior Advisor",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"83","Justice","Associate Attorney General","Rachel L. Brand","George Mason University",2017,2018,"Consultant",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"84","Justice","Associate Attorney General","Rachel L. Brand","George Mason University",2017,2018,"Associate Professor of Law",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"85","Justice","Associate Attorney General","Rachel L. Brand","Brand Consulting, LLC",2017,2018,"Owner",NA,"University of Minnesota - Morris",NA,"Harvard University",NA,1,-0.816,1,NA
"86","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Jones Day LLP",NA,NA,"Partner at Jones Day",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Abercrombie & Fitch Stores, Inc.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Americold Logistics",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Bloomberg, L.P.",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Justice","Assistant Attorney General for the Civil Rights Division","Eric S. Dreiband","Bridgewater Associates",NA,NA,"Legal Services (client of Jones Day)",NA,NA,NA,NA,NA,NA,NA,NA,NA
