"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"87","Robert M. Duncan Jr.","U.S. Attorney for the E.D. of Kentucky","prosecutor","11/21/2017","1978-01-01",42,"Ashland","male",0,"Republcian","Centre College",NA,NA,"University of Kentucky",0.039,92,0,0,0,1,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,0
"88","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","1/16/2019","1946-01-01",74,"Hartford","male",0,NA,"St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,0,0,0,0,0,0,0,1,1,1,1,0,1,NA,NA,NA,NA,NA,0,1
"89","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,NA,NA,NA,NA,1,0
"90","Ron A. Parsons Jr.","U.S. Attorney for the District of South Dakota","prosecutor","1/5/2018",NA,NA,"","male",0,"Republican","University of Minnesota",NA,NA,"University of South Dakota",0.061,157,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"91","Russell Coleman","U.S. Attorney for the W.D. of Kentucky","prosecutor","9/22/2017",NA,NA,"","male",0,"Republican","University of Kentucky",NA,NA,"University of Kentucky",0.039,92,0,0,0,1,0,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"92","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","1/8/2018","1979-01-01",41,"Washington, D.C.","male",0,"Republican","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,0,0,1,0,0,0,1,1,1,0,1,0,1,NA,NA,1,NA,NA,0,0
"93","Scott Blader","U.S. Attorney for the W.D. of Wisconsin","prosecutor","11/22/2017","1974-01-01",46,"Wild Rose","male",0,"Republican","University of Wisconsin-Oshkosh",NA,NA,"Marquette University",-0.502,102,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"94","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","12/22/2017",NA,NA,"","male",0,NA,"Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,0,1
"95","Scott W. Murray","U.S. Attorney for the District of New Hampshire","prosecutor","3/5/2018","1954-01-01",66,"Rochester","male",0,"Republican","University of New Hampshire","University of New Hampshire",NA,"University of New Hampshire",-0.14,88,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"96","Shawn N. Anderson","U.S. Attorney for the District of Guam & Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"97","Sherri Lydon","U.S. Attorney for the District of South Carolina","prosecutor","5/24/2018","1962-02-21",58,"Myrtle Beach Air Force Base","female",0,"None","Clemson University",NA,NA,"University of South Carolina",0.171,92,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"98","Stephen Boyd","Assistant Attorney General for Legislative Affairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0
"99","Stephen McAllister","U.S. Attorney for the District of Kansas","prosecutor","1/25/2018",NA,NA,"","male",0,NA,"University of Kansas",NA,NA,"University of Kansas",-0.391,77,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,1
"100","Steven A. Engel","Assistant Attorney General for the Office of the Legal Counsel","justicedept",NA,NA,NA,NA,NA,NA,NA,"Harvard University","University of Cambridge",NA,"Yale University",-0.913,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,0
"101","Steven D. Weinhoeft","U.S. Attorney for the S.D. of Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"102","Thomas Kirsch","U.S. Attorney for the N.D. of Indiana","prosecutor","10/10/2017","1974-01-25",46,"","male",0,NA,"Indiana University",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"103","Thomas T. Cullen","U.S. Attorney for the W.D. of Virginia","prosecutor","3/30/2018","1977-01-01",43,"Richmond","male",0,"None","Furman University",NA,NA,"William & Mary",-0.414,36,0,0,0,1,1,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,1,0,0
"104","Timothy A. Garrison","U.S. Attorney for the W.D. of Missouri","prosecutor","1/5/2018","1976-01-01",44,"Urbana","male",0,"Republican","Drury University","University of Missouri",NA,"University of Missouri",-0.197,77,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,1,1,0
"105","Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma","prosecutor","6/5/2019",NA,NA,"","male",1,"Republican","University of Oklahoma","Oral Roberts University",NA,"Regent University",0.264,102,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,1,0
"106","W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico","prosecutor","10/4/2019","1964-06-15",56,"","male",1,NA,"Bucknell University","American University School of International Service",NA,"American University",-0.834,64,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"107","William C. Lamar","U.S. Attorney for the N.D. of Mississippi","prosecutor","",NA,NA,"","male",NA,NA,"Millsaps College",NA,NA,"University of Mississippi",0.406,92,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"108","William D. Hyslop","U.S. Attorney for the E.D. of Washington","prosecutor","7/18/2019","1951-01-01",69,"Spokane","male",1,NA,"Washington State University","University of Washington",NA,"Gonzaga University",-0.404,102,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"109","William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania","prosecutor","4/6/2018","1969-01-01",51,"Philadelphia","male",0,"Republican","Yale University",NA,NA,"Harvard University",-0.816,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,1
"110","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"111","William Powell","U.S. Attorney for the N.D. of Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1
