"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","barr_appointment","political_affiliation","bachelors","masters","doctorate","law","law_conservative_score","law_rank","connection_trump_all","connection_trump_interviews","connection_trump_campaign","connection_trumpally_all","connection_trumpally_innercircle","connection_trumpally_us_senate","connection_trumpally_state_gov","connection_trumpally_rnc","connection_conservative_all","connection_conservative_lawschool","connection_conservative_firm","connection_conservative_group","connection_conservative_gov","federalist_society","heritage_foundation","american_center_for_law_and_justice","christian_legal_society_bar_association","national_rifle_association_tie","republican_national_lawyers_association_tie","connection_careerprofessional_all","connection_other_all"
"22","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2/22/2018","1956-01-01",64,"Philadelphia","male",0,"None","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"23","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","11/27/2017",NA,NA,"","male",0,"Republican","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,1
"24","David L. Anderson","U.S. Attorney for the N.D. of California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"25","David M. DeVillers","U.S. Attorney for the S.D. Ohio","prosecutor","10/28/2019",NA,NA,"","male",1,"Republican","State University of New York at Oswego",NA,NA,"Capital University",-0.041,166,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"26","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","9/21/2017",NA,NA,"","male",0,NA,"Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,1
"27","Doug Overbey","U.S. Attorney for the E.D. of Tennessee","prosecutor","11/21/2017","1954-12-11",65,"","male",0,"Republican","Carson Newman University",NA,NA,"University of Tennessee, Knoxville",-0.267,64,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0
"28","Drew Wrigley","U.S. Attorney for the District of North Dakota","prosecutor","4/17/2019","1965-10-10",55,"Bismarck","male",1,"Republican","University of North Dakota",NA,NA,"American University",-0.834,64,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,1,NA,1,0
"29","Duane Kees","U.S. Attorney for the W.D. of Arkansas","prosecutor","1/5/2018","1975-01-01",45,"Little Rock","male",0,"Republican","University of Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,0,0,1,0,0,0,1,1,1,0,1,0,1,NA,1,NA,1,NA,0,0
"30","Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0
"31","Erica MacDonald","U.S. Attorney for the District of Minnesota","prosecutor","6/11/2018",NA,NA,"DeSoto","female",0,"Republican","University of Notre Dame",NA,NA,"DePaul University",-0.824,115,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"32","Erin Nealy Cox","U.S. Attorney for the N.D. of Texas","prosecutor","11/17/2017","1970-01-01",50,"Pascagoula","female",0,"None",NA,NA,NA,"University of Texas, Austin",-0.165,15,0,0,0,0,0,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,1
"33","G. Zachary Terwilliger","U.S. Attorney for the E.D. of Virginia","prosecutor","5/25/2018","1985-01-01",35,"Washington, D.C.","male",0,NA,"University of Virginia",NA,NA,"William & Mary",-0.414,36,0,0,0,1,0,0,1,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0,0
"34","Geoffrey Berman","U.S. Attorney for the S.D. of New York","prosecutor","","1959-09-12",61,"Trenton","male",NA,"Republican","University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,1,1,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,0,0
"35","Grant C. Jaquith","U.S. Attorney for the N.D. of New York","prosecutor","",NA,NA,"","male",NA,NA,"Presbyterian College",NA,NA,"University of Florida",-0.214,29,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
"36","Gretchen C.F. Shappert","U.S. Attorney for the District of the Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,0
