item,itemLabel,class,classLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,place_of_birth,place_of_birthLabel,occupation,occupationLabel,educated_at,educated_atLabel
http://www.wikidata.org/entity/Q42346740,Michael B. Stuart,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1967-01-06T00:00:00Z,http://www.wikidata.org/entity/Q957279,Philippi,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q3064264,Boston University School of Law
http://www.wikidata.org/entity/Q42351529,Mark Klaassen,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1973-04-01T00:00:00Z,http://www.wikidata.org/entity/Q919040,Gillette,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q3121493,Oral Roberts University
http://www.wikidata.org/entity/Q42351529,Mark Klaassen,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1973-04-01T00:00:00Z,http://www.wikidata.org/entity/Q919040,Gillette,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7063457,Notre Dame Law School
http://www.wikidata.org/entity/Q42353365,Scott Blader,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1974-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2233056,Wild Rose,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q6772633,Marquette University Law School
http://www.wikidata.org/entity/Q42417575,William C. Lamar,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q6860022,Millsaps College
http://www.wikidata.org/entity/Q42417575,William C. Lamar,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,,,,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q14693404,University of Mississippi School of Law
http://www.wikidata.org/entity/Q42422254,Robert M. Duncan Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q725562,Ashland,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q1804942,Centre College
http://www.wikidata.org/entity/Q42422254,Robert M. Duncan Jr.,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1978-01-01T00:00:00Z,http://www.wikidata.org/entity/Q725562,Ashland,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7895594,University of Kentucky College of Law
http://www.wikidata.org/entity/Q43380464,Matthew Martin,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1979-01-01T00:00:00Z,http://www.wikidata.org/entity/Q730187,Wright-Patterson Air Force Base,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q167102,University of North Carolina School of Law
http://www.wikidata.org/entity/Q43381318,William J. Powell,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q6581097,male,1960-01-01T00:00:00Z,http://www.wikidata.org/entity/Q286148,Manhasset,http://www.wikidata.org/entity/Q40348,lawyer,http://www.wikidata.org/entity/Q7404072,Salem College
