"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"50","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"County of Jefferson AL",NA,NA,NA,NA,NA,1,NA,NA,NA
"51","William Powell",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"County of Jefferson WV",NA,NA,2017,NA,NA,NA,NA,NA,NA
"52","Brian T. Moran","U.S. Attorney for the W.D. of Washington","prosecutor","2019-01-17",NA,NA,"","male","Middlebury College",NA,NA,"Seattle University",-0.938,102,0,NA,"County of Kitsap WA",NA,1989,1998,NA,NA,NA,NA,NA,NA
"53","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2018-02-23","1956-01-01",64,"Lexington","male","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,"Republican","County of Lancaster NE",NA,2011,2018,NA,NA,NA,NA,NA,NA
"54","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2018-02-23","1956-01-01",64,"Lexington","male","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,"Republican","County of Lancaster NE",NA,2010,2011,NA,NA,NA,NA,NA,NA
"55","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2018-02-23","1956-01-01",64,"Lexington","male","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,"Republican","County of Lancaster NE",NA,1990,2000,NA,NA,NA,NA,NA,NA
"56","Joseph P. Kelly","U.S. Attorney for the District of Nebraska","prosecutor","2018-02-23","1956-01-01",64,"Lexington","male","University of Nebraska",NA,NA,"University of Nebraska",-0.005,88,0,"Republican","County of Lancaster NE",NA,1981,1986,NA,NA,NA,NA,NA,NA
"57","Robert S. Brewer Jr.","U.S. Attorney for the S.D. of California","prosecutor","2019-01-16","1946-01-01",74,"Hartford","male","St. Lawrence University",NA,NA,"University of San Diego",-0.256,58,0,NA,"County of Los Angeles CA",NA,1975,1977,NA,NA,1,NA,NA,NA
"58","Jay Town","U.S. Attorney for the N.D. of Alabama","prosecutor","2017-08-11","1973-08-26",47,"","male","University of Notre Dame",NA,NA,"Seton Hall University School of Law",-0.467,64,0,"Republican","County of Madison AL",NA,2005,2017,NA,NA,NA,NA,NA,NA
"59","Michael G. Bailey","U.S. Attorney for the District of Arizona","prosecutor",NA,NA,NA,"","male","Westmont College",NA,NA,"University of Arizona",-0.776,29,1,"Republican","County of Maricopa AZ",NA,1998,2004,NA,NA,NA,NA,NA,NA
"60","R. Andrew Murray","U.S. Attorney for the W.D. of North Carolina","prosecutor","2017-11-27",NA,NA,"","male","University of North Carolina at Charlotte",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,"Republican","County of Mecklenburg NC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Scott W. Murray","U.S. Attorney for the District of New Hampshire","prosecutor","2018-03-05","1954-01-01",66,"Rochester","male","University of New Hampshire","University of New Hampshire",NA,"University of New Hampshire",-0.14,88,0,"Republican","County of Merrimack NH",NA,2010,2018,NA,NA,NA,NA,NA,NA
"62","Ariana Fajardo Orshan","U.S. Attorney for the S.D. of Florida","prosecutor","2018-09-18",NA,NA,"","female","Florida International University",NA,NA,"Nova Southeastern University",-0.224,157,0,NA,"County of Miami-Dade FL",NA,NA,NA,NA,NA,1,NA,NA,NA
"63","Christina E. Nolan","U.S. Attorney for the District of Vermont","prosecutor","2017-11-27","1979-01-01",41,"Burlington","female","University of Vermont",NA,NA,"Boston College",-0.82,24,0,"None","County of Middlesex MA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","County of Multnomah OR",NA,1999,2000,NA,NA,NA,NA,NA,NA
"65","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","County of Multnomah OR",NA,1990,1999,NA,NA,NA,NA,NA,NA
"66","Billy J. Williams","U.S. Attorney for the District of Oregon","prosecutor","2018-02-23","1956-01-01",64,"Toppenish","male","Washington State University",NA,NA,"Willamette University",-0.571,136,0,"Republican","County of Multnomah OR",NA,1989,1990,NA,NA,NA,NA,NA,NA
"67","Justin Herdman","U.S. Attorney for the N.D. of Ohio","prosecutor","2017-08-21",NA,NA,"","male","Ohio University","University of Glasgow",NA,"Harvard University",-0.816,1,0,NA,"County of New York NY",NA,2001,2005,NA,NA,1,NA,NA,NA
"68","John C. Milhiser","U.S. Attorney for the C.D. of Illinois","prosecutor","2018-10-31",NA,NA,"United States of America","male","James Madison University",NA,NA,"University of Illinois",-0.865,36,0,"Republican","County of Sangamon IL",NA,2010,2018,NA,NA,NA,NA,NA,NA
"69","John C. Milhiser","U.S. Attorney for the C.D. of Illinois","prosecutor","2018-10-31",NA,NA,"United States of America","male","James Madison University",NA,NA,"University of Illinois",-0.865,36,0,"Republican","County of Sangamon IL",NA,2008,2010,NA,NA,NA,NA,NA,NA
"70","John C. Milhiser","U.S. Attorney for the C.D. of Illinois","prosecutor","2018-10-31",NA,NA,"United States of America","male","James Madison University",NA,NA,"University of Illinois",-0.865,36,0,"Republican","County of Sangamon IL",NA,1997,2003,NA,NA,NA,NA,NA,NA
"71","McGregor W. Scott","U.S. Attorney for the E.D. of California","prosecutor","2017-12-29","1962-01-01",58,"Mountain View","male","Santa Clara University",NA,NA,"University of California, Hastings",-1.125,64,0,"Republcian","County of Shasta CA",NA,1997,2003,NA,NA,1,NA,NA,NA
"72","Brian Kuester","U.S. Attorney for the E.D. of Oklahoma","prosecutor","2017-10-25",NA,NA,"","male","University of Central Missouri",NA,NA,"University of Tulsa",-0.109,102,0,"Republican","County of Tulsa County OK",NA,2003,2008,NA,NA,NA,NA,NA,NA
"73","Scott Blader","U.S. Attorney for the W.D. of Wisconsin","prosecutor","2017-11-22","1974-01-01",46,"Wild Rose","male","University of Wisconsin-Oshkosh",NA,NA,"Marquette University",-0.502,102,0,"Republican","County of Waushara WI",NA,2007,2017,NA,NA,NA,NA,NA,NA
"74","John W. Huber","U.S. Attorney for the District of Utah","prosecutor","2015-06-01","1967-01-01",53,"Salt Lake City","male","University of Utah",NA,NA,"University of Utah",-0.487,58,0,NA,"County of Weber UT",NA,1995,1996,NA,NA,NA,NA,NA,NA
"75","David Freed","U.S. Attorney for the M.D. of Pennsylvania","prosecutor","2017-11-27",NA,NA,"","male","Washington and Lee University",NA,NA,"Dickinson Law",-0.337,52,0,"Republican","County of York PA",NA,1997,1998,NA,NA,NA,NA,NA,NA
"76","Matthew Martin","U.S. Attorney for the M.D. of North Carolina","prosecutor","2017-11-09","1979-01-01",41,"Wright-Patterson Air Force Base","male","University of North Carolina",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,"Republican","Covington & Burling LLP",-0.612,2004,2006,NA,NA,NA,NA,NA,NA
"77","Joseph D. Brown","U.S. Attorney for the E.D. of Texas","prosecutor","2018-02-26","1970-01-01",50,"Sherman","male","University of Texas at Austin",NA,NA,"Southern Methodist University",0.029,43,0,"Republican","Cowles and Thompson",NA,NA,NA,NA,NA,NA,NA,1,NA
"78","Donald Q. Cochran","U.S. Attorney for the M.D. of Tennessee","prosecutor","2017-09-21",NA,NA,"","male","Vanderbilt University",NA,NA,"Vanderbilt University",-0.556,15,0,NA,"Cumberland School of Law",NA,2002,2012,NA,NA,1,NA,NA,NA
"79","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","Delaware Supreme Court",NA,1984,1986,NA,NA,NA,NA,NA,NA
"80","Brian Kuester","U.S. Attorney for the E.D. of Oklahoma","prosecutor","2017-10-25",NA,NA,"","male","University of Central Missouri",NA,NA,"University of Tulsa",-0.109,102,0,"Republican","District 27 OK",NA,2010,2017,NA,NA,NA,NA,NA,NA
"81","William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania","prosecutor","2018-04-06","1969-01-01",51,"Philadelphia","male","Yale University",NA,NA,"Harvard University",-0.816,1,0,"Republican","Drinker Biddle & Reath LLP",-0.41,NA,2018,NA,NA,1,NA,NA,NA
"82","David C. Weiss","U.S. Attorney for the District of Delaware","prosecutor","2018-02-22","1956-01-01",64,"Philadelphia","male","Washington University in St. Louis",NA,NA,"Widener University",-0.229,173,0,"None","Duane Morris LLP",-0.326,1989,1999,NA,NA,NA,NA,NA,NA
"83","Matthew Martin","U.S. Attorney for the M.D. of North Carolina","prosecutor","2017-11-09","1979-01-01",41,"Wright-Patterson Air Force Base","male","University of North Carolina",NA,NA,"University of North Carolina, Chapel Hill",-0.391,43,0,"Republican","Duke Energy Corp",NA,2013,2018,NA,NA,NA,NA,NA,NA
"84","Ariana Fajardo Orshan","U.S. Attorney for the S.D. of Florida","prosecutor","2018-09-18",NA,NA,"","female","Florida International University",NA,NA,"Nova Southeastern University",-0.224,157,0,NA,"Eleventh Circuit Court of Florida",NA,2012,2018,NA,NA,1,NA,NA,NA
"85","Gretchen C.F. Shappert",NA,"prosecutor",NA,NA,NA,NA,NA,"Duke University",NA,NA,"Washington and Lee University",-0.401,29,NA,NA,"Executive Office for United States Attorneys",NA,2010,2018,NA,NA,NA,NA,NA,NA
"86","Scott Brady","U.S. Attorney for the W.D. of Pennsylvania","prosecutor","2017-12-22",NA,NA,"","male","Harvard University",NA,NA,"Dickinson Law",-0.337,52,0,NA,"Federated Investors Inc",NA,NA,2017,NA,NA,NA,NA,NA,NA
"87","Charles Peeler","U.S. Attorney for the M.D. of Georgia","prosecutor","2017-11-22","1973-01-01",47,"Augusta","male","University of Georgia",NA,NA,"University of Georgia",-0.185,29,0,NA,"Flynn, Peeler & Phillips LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Russell Coleman","U.S. Attorney for the W.D. of Kentucky","prosecutor","2017-09-22",NA,NA,"","male","University of Kentucky",NA,NA,"University of Kentucky",0.039,92,0,"Republican","Frost Brown Todd LLC",0.225,2015,2017,NA,NA,NA,NA,NA,NA
"89","B.J. Pak",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia House of Representatives",NA,2010,2017,NA,NA,NA,NA,NA,NA
"90","Nicola T. Hanna","U.S. Attorney for the C.D. of California","prosecutor","2018-01-05","1961-09-19",59,"","male","University of California, San Diego",NA,NA,"Georgetown University",-0.821,15,0,"Republican","Gibson, Dunn & Crutcher LLP",-0.297,NA,2017,NA,NA,NA,NA,NA,NA
"91","John Bash","U.S. Attorney for the W.D. of Texas","prosecutor","2017-12-11",NA,NA,"","male","Harvard University",NA,NA,"Harvard University",-0.816,1,0,NA,"Gibson, Dunn & Crutcher LLP",-0.297,NA,2012,NA,NA,1,NA,NA,NA
"92","Andrew Lelling","U.S. Attorney for the District of Massachusetts","prosecutor","2017-12-21","1970-01-01",50,"","male","Binghamton University",NA,NA,"University of Pennsylvania",-0.865,6,0,"Republican","Goodwin Procter LLP",-0.747,NA,NA,NA,NA,1,NA,NA,NA
"93","Christina E. Nolan","U.S. Attorney for the District of Vermont","prosecutor","2017-11-27","1979-01-01",41,"Burlington","female","University of Vermont",NA,NA,"Boston College",-0.82,24,0,"None","Goodwin Procter LLP",-0.747,2005,2009,NA,NA,NA,NA,NA,NA
"94","Geoffrey Berman","U.S. Attorney for the S.D. of New York","prosecutor",NA,"1959-09-12",61,"Trenton","male","University of Pennsylvania",NA,NA,"Stanford University",-0.878,4,NA,"Republican","Greenberg Traurig LLP",-0.426,NA,NA,NA,NA,1,NA,NA,NA
"95","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","2018-01-08","1979-01-01",41,"Washington, D.C.","male","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,"Republican","Harris County Republican Party",NA,2002,2004,NA,1,1,NA,NA,NA
"96","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,102,0,NA,"Hiland, Thomas & Cox PLLC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","J. Cody Hiland","U.S. Attorney for the E.D. of Arkansas","prosecutor","2017-10-10","1975-01-01",45,"","male","University of Central Arkansas",NA,NA,"University of Arkansas, Little Rock",-0.29,148,0,NA,"Hiland, Thomas & Cox PLLC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","John C. Anderson","U.S. Attorney for the District of New Mexico","prosecutor","2018-02-23","1975-01-01",45,"Smithtown","male","Bowdoin College",NA,NA,"Fordham University",-0.773,24,0,"Republican","Holland & Hart LLP",-0.596,2013,2018,NA,NA,NA,NA,NA,NA
"99","Ryan Patrick","U.S. Attorney for the S.D. of Texas","prosecutor","2018-01-08","1979-01-01",41,"Washington, D.C.","male","Baylor University",NA,NA,"South Texas College of Law",-0.08,148,0,"Republican","Hoover Slovacek LLP",NA,2017,2017,NA,1,1,NA,NA,NA
"100","Jeffrey Jensen","U.S. Attorney for the E.D. of Missouri","prosecutor","2017-10-06",NA,NA,"","male","Indiana University",NA,NA,"Saint Louis University",-0.752,92,0,NA,"Husch Blackwell LLP",-0.319,2013,2017,NA,NA,NA,NA,NA,NA
"101","Bart Davis","U.S. Attorney for the District of Idaho","prosecutor","2017-09-21","1955-03-07",65,"Rapid City","male","Brigham Young University",NA,NA,"University of Idaho",0.212,115,0,"Republican","Idaho State Senate",NA,1998,2017,NA,NA,1,NA,NA,NA
"102","David L. Anderson",NA,"prosecutor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iran - US Claims Tribunal",NA,1992,1993,NA,NA,NA,NA,NA,NA
