"","item_label","bachelors","masters","law","doctorate","law_rank","law_conservative_score"
"92","Jorge Aguinaga","Baylor University",NA,"Louisiana State University",NA,102,171
"93","Joseph A. Hunt","Samford University","The Florida State University","Columbia University School of Law",NA,3,48
"94","Joseph Edlow","Brandeis University",NA,"Case Western Reserve University School of Law",NA,58,123
"95","Joseph Mott","George Mason University",NA,"University of Richmond School of Law",NA,43,139
"96","Joshua Gardner","University of Central Florida",NA,"George Washington University School of Law",NA,21,112
"97","Julia A. Schiller","Princeton University",NA,"New York University School of Law",NA,6,22
"98","Katherine Crytzer","Middle Tennessee State University",NA,"George Mason University's Antonin Scalia School of Law",NA,29,185
"99","Kelli Andrews","Bucknell University",NA,"Cornell Law School",NA,15,41
"100","Kenneth Harris",NA,NA,NA,NA,NA,NA
"101","Kerri Kupec","City University of New York Queens College",NA,"Liberty University School of Law",NA,136,NA
"102","Krystle Mitchell","McDaniel College","Trinity University-Washington",NA,"Agrosy University",NA,NA
"103","Lathika Mary Thomas",NA,NA,"Florida State University College of Law",NA,52,136
"104","Laura Rogers","Santa Clara University",NA,"California Western School of Law",NA,157,35
"105","Lauren Goldschmidt","University of Michigan",NA,"Benjamin N. Cardozo School of Law",NA,43,78
"106","Lee J. Lofthus",NA,"American University",NA,NA,NA,NA
"107","Liam Hardy","Princeton University","Stanford University","Georgetown University Law Center",NA,15,38
"108","Lindsay Pickell","Wake Forest University",NA,"University of Alabama School of Law",NA,24,172
"109","Lindsey A. Freeman","Harvard University",NA,"University of Pennsylvania",NA,NA,NA
"110","Lindsey A. Freeman","Harvard University",NA,"University of Pennsylvania",NA,6,66
"111","Lindsey De La Torre",NA,NA,NA,NA,NA,NA
"112","Makan Delrahim","University of California Los Angeles","John Hopkins University","George Washington University School of Law",NA,21,112
"113","Mark Champoux","Brigham Young University",NA,"Harvard Law School",NA,1,25
"114","Mary Blanche N. Hankey","University of Alabama",NA,"Samford University Cumberland School of Law",NA,148,160
"115","Matt M. Dummermuth","Iowa State University",NA,"Harvard Law School",NA,1,25
"116","Matthew Baughman","Furman University",NA,"Harvard Law School",NA,1,25
"117","Matthew G. Whitaker","University of Iowa","University of Iowa","University of Iowa",NA,43,113
"118","Matthew G. Whitaker","University of Iowa","University of Iowa","University of Iowa",NA,NA,NA
"119","Matthew Glover","University of Notre Dame","University of Toronto","University of Virginia School of Law",NA,8,142
"120","Matthew Miner","University of Cincinnati",NA,"University of Michigan Law School",NA,8,36
"121","Matthew Sheehan","Dickinson College",NA,"Pennsylvania State University School of Law",NA,58,88
"122","Michael Costigan","University of California, Santa Barbara",NA,NA,NA,NA,NA
"123","Michael Fragoso",NA,NA,NA,NA,NA,NA
"124","Michael Murray",NA,NA,NA,NA,NA,NA
"125","Noel Francisco","University of Chicago",NA,"University of Chicago Law School",NA,4,108
"126","Omeed Assefi",NA,NA,NA,NA,NA,NA
"127","Patricia K. Cushwa","Hood College","Hood College",NA,NA,NA,NA
"128","Patricia M. Nation",NA,NA,NA,NA,NA,NA
