,person,position_current,source,date_of_appointment,date_of_birth,age,birthplace,sex,bachelors,masters,doctorate,law,law_conservative_score,law_rank,barr_appointment,political_affiliation,american_center_for_law_and_justice,christian_legal_society_bar_association,federalist_society,heritage_foundation,national_rifle_association_tie,republican_national_lawyers_association_tie
52,"Drew Wrigley","U.S. Attorney for the District of North Dakota",prosecutor,2019/04/17,1965/10/10,55,Bismarck,male,"University of North Dakota",NA,NA,"Washington College of Law",61,64,1,Republican,NA,NA,NA,NA,1,NA
53,"Justin Herdman","U.S. Attorney for the N.D. of Ohio",prosecutor,2017/08/21,NA,NA,NA,male,"Ohio University","University of Glasgow",NA,"Harvard Law School",25,1,0,NA,NA,NA,1,NA,NA,NA
54,"David M. DeVillers","U.S. Attorney for the S.D. Ohio",prosecutor,2019/10/28,NA,NA,NA,male,"State University of New York at Oswego",NA,NA,"Capital University Law School",161,166,1,Republican,NA,NA,NA,NA,NA,NA
55,"Brian Kuester","U.S. Attorney for the E.D. of Oklahoma",prosecutor,2017/10/25,NA,NA,NA,male,"University of Central Missouri",NA,NA,"University of Tulsa College of Law",109,102,0,Republican,NA,NA,NA,NA,NA,NA
56,"R. Trent Shores","U.S. Attorney for the N.D. of Oklahoma",prosecutor,2017/10/21,NA,NA,NA,male,"Vanderbilt University",NA,NA,"University of Oklahoma College of Law",159,77,0,Republican,NA,NA,1,NA,NA,NA
57,"Timothy J. Downing","U.S. Attorney for the W.D. of Oklahoma",prosecutor,2019/06/05,NA,NA,NA,male,"University of Oklahoma","Oral Roberts University",NA,"Regent University School of Law",184,102,1,Republican,NA,NA,1,NA,NA,NA
58,"Billy J. Williams","U.S. Attorney for the District of Oregon",prosecutor,2018/02/23,1956/01/01,64,Toppenish,male,"Washington State University",NA,NA,"Willamette University College of Law",43,136,0,Republican,NA,NA,NA,NA,NA,NA
59,"David Freed","U.S. Attorney for the M.D. of Pennsylvania",prosecutor,2017/11/27,NA,NA,NA,male,"Washington and Lee University",NA,NA,"Dickinson School of Law",88,52,0,Republican,NA,NA,NA,NA,NA,NA
60,"Scott Brady","U.S. Attorney for the W.D. of Pennsylvania",prosecutor,2017/12/22,NA,NA,NA,male,"Harvard University",NA,NA,"Dickinson School of Law",88,52,0,NA,NA,NA,NA,NA,NA,NA
61,"William M. McSwain","U.S. Attorney for the E.D. of Pennsylvania",prosecutor,2018/04/06,1969/01/01,51,Philadelphia,male,"Yale University",NA,NA,"Harvard Law School",25,1,0,Republican,NA,NA,1,NA,NA,NA
62,"W. Stephen Muldrow","U.S. Attorney for the District of Puerto Rico",prosecutor,2019/10/04,1964/06/15,56,NA,male,"Bucknell University","American University School of International Service",NA,"Washington College of Law",61,64,1,NA,NA,NA,NA,NA,NA,NA
63,"Aaron L. Weisman","U.S. Attorney for the District of Rhode Island",prosecutor,2019/01/14,1965/01/01,55,NA,male,"Brandeis University",NA,NA,"Benjamin N. Cardozo School of Law",78,43,0,Republican,NA,NA,NA,NA,NA,NA
64,"Sherri Lydon","U.S. Attorney for the District of South Carolina",prosecutor,2018/05/24,1962/02/21,58,"Myrtle Beach Air Force Base",female,"Clemson University",NA,NA,"University of South Carolina School of Law",164,92,0,None,NA,NA,NA,NA,NA,NA
